match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77954360,1777023054,2026-04-24 09:30:54 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,23,23,63,72,79,50,67,66,12,27,2,7,58,64
77954358,1777023053,2026-04-24 09:30:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,86,86,13,58,27,11,35,31,69,1,81,14,20,16
77954355,1777023053,2026-04-24 09:30:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,56,56,79,11,66,7,76,1,20,50,35,80,14,64
77954354,1777023052,2026-04-24 09:30:52 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,42,43,77,6,58,79,80,15,3,65,31,16,72,11
77954351,1777023048,2026-04-24 09:30:48 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,71,73,15,63,6,31,60,13,20,65,10,72,16,11
77954349,1777023046,2026-04-24 09:30:46 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,74,74,80,10,1,64,76,69,25,15,79,31,13,7
77954347,1777023045,2026-04-24 09:30:45 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,31,26,63,12,15,31,13,8,58,19,81,25,2,76
77954343,1777023043,2026-04-24 09:30:43 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,61,61,77,60,15,2,35,64,76,13,65,27,69,12
77954342,1777023043,2026-04-24 09:30:43 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,53,52,20,15,25,63,18,13,27,31,65,64,67,76
77954341,1777023043,2026-04-24 09:30:43 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,54,54,50,25,69,1,3,6,31,77,66,27,79,2
77954327,1777023035,2026-04-24 09:30:35 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,51,46,2,1,7,18,67,4,66,79,14,63,27,11
77954312,1777023014,2026-04-24 09:30:14 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,26,26,63,15,79,16,72,13,69,2,65,27,25,67
77954307,1777023012,2026-04-24 09:30:12 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,83,83,13,14,18,63,1,6,19,77,31,67,58,76
77954305,1777023011,2026-04-24 09:30:11 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,14,14,50,13,66,20,81,11,64,31,27,4,14,76
77954245,1777022978,2026-04-24 09:29:38 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,103,103,16,11,20,6,50,7,67,80,31,77,10,1
77954244,1777022977,2026-04-24 09:29:37 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,103,103,7,25,1,50,67,64,52,4,60,31,15,19
